,City,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Envira,-7.3,-70.2167,78.26,66,50,1.97,BR,1598929200
1,Wollongong,-34.4333,150.8833,59.79,58,23,7.7,AU,1598929200
2,Olinda,-8.0089,-34.8553,77.09,77,27,15.26,BR,1598929200
3,Grindavik,63.8424,-22.4338,52.18,92,87,10.78,IS,1598929200
4,Hukay,13.8452,120.7029,86.45,68,89,7.16,PH,1598929200
5,Tabou,4.423,-7.3528,75.04,83,89,8.25,CI,1598929200
6,Bredasdorp,-34.5322,20.0403,47.21,91,52,6.71,ZA,1598929200
7,Santa Rosa de Aguán,15.95,-85.7167,82.83,81,3,18.1,HN,1598929200
8,Cap Malheureux,-19.9842,57.6142,72.59,76,13,21.85,MU,1598929200
9,Carauari,-4.8828,-66.8958,74.93,87,49,0.78,BR,1598929200
10,Busselton,-33.65,115.3333,56.48,71,52,26.04,AU,1598929200
11,Sur,22.5667,59.5289,83.55,62,65,6.76,OM,1598929200
12,Rikitea,-23.1203,-134.9692,68.81,86,73,17.85,PF,1598929200
13,Hofn,64.2539,-15.2082,50.9,94,71,15.35,IS,1598929200
14,Punta Arenas,-53.15,-70.9167,35.94,85,8,6.22,CL,1598929200
15,Piopio,-38.4667,175.0167,58.39,77,91,5.68,NZ,1598929200
16,Mwinilunga,-11.7358,24.4293,61.97,66,44,2.98,ZM,1598929200
17,Albany,42.6001,-73.9662,60.06,76,95,3.78,US,1598929200
18,Talnakh,69.4865,88.3972,58.1,75,46,1.28,RU,1598929200
19,Mount Isa,-20.7333,139.5,84.97,15,0,15.3,AU,1598929200
20,Vung Tau,10.346,107.0843,84.51,74,82,8.77,VN,1598929200
21,Ushuaia,-54.8,-68.3,32.85,93,69,2.71,AR,1598929200
22,Lompoc,34.6391,-120.4579,62.24,78,2,3.44,US,1598929200
23,Port Alfred,-33.5906,26.891,57.18,71,100,15.68,ZA,1598929200
24,São Filipe,14.8961,-24.4956,77.43,74,34,5.53,CV,1598929200
25,Saint Paul Harbor,57.79,-152.4072,60.33,64,38,8.05,US,1598929200
26,Beringovskiy,63.05,179.3167,47.8,63,51,11.81,RU,1598929200
27,Port Elizabeth,-33.918,25.5701,57.58,68,100,15.35,ZA,1598929200
28,Iqaluit,63.7506,-68.5145,47.25,72,49,8.41,CA,1598929200
29,Avera,33.194,-82.5271,79.52,88,10,4.16,US,1598929200
30,Kyshtovka,56.555,76.6271,60.58,90,100,15.52,RU,1598929200
31,Morant Bay,17.8815,-76.4093,82.98,78,46,8.95,JM,1598929200
32,Jamestown,42.097,-79.2353,65.32,86,36,12.28,US,1598929200
33,Hobart,-42.8794,147.3294,52.63,52,72,5.03,AU,1598929200
34,San Cristobal,7.7669,-72.225,74.43,75,62,2.8,VE,1598929200
35,Vaini,-21.2,-175.2,78.96,86,44,14.9,TO,1598929200
36,Zvishavane,-20.3267,30.0665,57.83,90,100,9.64,ZW,1598929200
37,Puerto Ayora,-0.7393,-90.3518,64.94,83,80,10.11,EC,1598929200
38,Zyryanka,65.75,150.85,49.62,76,99,9.44,RU,1598929200
39,Lebu,-37.6167,-73.65,46.15,84,0,1.68,CL,1598929200
40,Touros,-5.1989,-35.4608,73.6,90,53,11.79,BR,1598929200
41,Cape Town,-33.9258,18.4232,50.86,82,40,10.22,ZA,1598929200
42,Rūdbār,30.15,62.6,73.65,34,0,17.11,AF,1598929200
43,Mataura,-46.1927,168.8643,46.13,65,82,4.99,NZ,1598929200
44,São João da Barra,-21.6403,-41.0511,72.45,85,80,10.0,BR,1598929200
45,Aklavik,68.2191,-135.0107,57.31,59,87,7.96,CA,1598929200
46,Port Hardy,50.6996,-127.4199,57.87,95,92,2.08,CA,1598929200
47,Saldanha,-33.0117,17.9442,50.59,79,7,12.33,ZA,1598929200
48,Jalu,29.0331,21.5482,74.8,43,0,2.84,LY,1598929200
49,Arraial do Cabo,-22.9661,-42.0278,72.64,85,89,9.57,BR,1598929200
50,Acapulco de Juárez,16.8634,-99.8901,82.18,75,80,2.82,MX,1598929200
51,Hilo,19.7297,-155.09,78.35,70,72,7.9,US,1598929200
52,Hermanus,-34.4187,19.2345,50.67,81,34,13.8,ZA,1598929200
53,Kapaa,22.0752,-159.319,81.63,73,51,17.45,US,1598929200
54,Illapel,-31.6308,-71.1653,47.64,78,36,1.7,CL,1598929200
55,Taloda,21.5667,74.2167,78.94,87,25,6.6,IN,1598929200
56,Airai,-8.9266,125.4092,77.54,54,18,6.78,TL,1598929200
57,Tezu,27.9167,96.1667,82.85,79,83,1.72,IN,1598929200
58,Kholm,59.2667,32.85,54.36,98,100,5.21,RU,1598929200
59,Surgut,61.25,73.4167,53.28,95,77,14.18,RU,1598929200
60,Mount Gambier,-37.8333,140.7667,56.71,60,97,12.73,AU,1598929200
61,Boulder,40.0833,-105.3505,58.39,60,87,4.14,US,1598929200
62,Codrington,-38.2667,141.9667,54.95,70,92,16.55,AU,1598929200
63,Nikolskoye,59.7035,30.7861,54.07,93,83,3.96,RU,1598929200
64,Katsuura,35.1333,140.3,82.51,70,26,13.94,JP,1598929200
65,‘Ewa Beach,21.3156,-158.0072,83.84,61,26,22.77,US,1598929200
66,Siavonga,-16.5382,28.7088,72.46,53,10,5.37,ZM,1598929200
67,Torbay,47.6666,-52.7314,53.64,91,91,21.79,CA,1598929200
68,Coahuayana Viejo,18.7333,-103.6833,77.9,84,85,1.19,MX,1598929200
69,Bluff,-46.6,168.3333,45.41,65,65,7.14,NZ,1598929200
70,Changtu,42.7788,124.0955,76.03,89,89,11.59,CN,1598929200
71,Tombouctou,20.0,-3.0,94.66,34,0,4.74,ML,1598929200
72,Atuona,-9.8,-139.0333,78.64,76,59,22.06,PF,1598929200
73,Kenora,49.8167,-94.4337,52.41,67,38,6.91,CA,1598929200
74,Ponta do Sol,32.6667,-17.1,68.2,69,12,5.46,PT,1598929200
75,Saint-Philippe,-21.3585,55.7679,69.55,72,68,14.61,RE,1598929200
76,Qaanaaq,77.484,-69.3632,29.05,85,89,5.64,GL,1598929200
77,Hong Kong,22.2855,114.1577,88.86,67,5,7.2,HK,1598929200
78,Piran,45.5278,13.5706,61.9,85,100,15.46,SI,1598929200
79,Caravelas,-17.7125,-39.2481,71.92,88,73,5.44,BR,1598929200
80,Nuevitas,21.5453,-77.2644,81.68,80,12,10.18,CU,1598929200
81,Bam,29.106,58.357,74.89,20,0,14.34,IR,1598929200
82,Ribeira Grande,38.5167,-28.7,71.53,73,39,13.53,PT,1598929200
83,Cayenne,4.9333,-52.3333,78.93,84,30,10.96,GF,1598929200
84,Vorotynets,56.0603,45.8633,64.27,68,61,10.16,RU,1598929200
85,Pisco,-13.7,-76.2167,59.77,83,22,1.21,PE,1598929200
86,Saint George,37.1041,-113.5841,90.1,14,1,9.4,US,1598929200
87,Basoko,1.2391,23.616,71.15,94,60,2.06,CD,1598929200
88,Kiruna,67.8557,20.2251,39.13,81,69,6.51,SE,1598929200
89,Geraldton,-28.7667,114.6,63.7,56,54,18.68,AU,1598929200
90,Shelburne,44.0787,-80.2041,60.35,84,20,6.62,CA,1598929200
91,Maniitsoq,65.4167,-52.9,45.77,74,39,11.36,GL,1598929200
92,Kholtoson,50.2981,103.3097,60.31,64,16,2.55,RU,1598929200
93,Samfya,-11.3649,29.5565,64.29,43,0,8.14,ZM,1598929200
94,Cefalù,38.0386,14.0229,72.7,74,96,7.14,IT,1598929200
95,Arlit,18.7369,7.3853,93.09,34,38,6.98,NE,1598929200
96,Bagaces,10.5271,-85.2548,75.52,90,34,2.8,CR,1598929200
97,Saint-Augustin,51.226,-58.6502,47.5,87,89,6.8,CA,1598929200
98,Garden City,42.3256,-83.331,69.6,67,41,4.9,US,1598929200
99,Tamandaré,-8.7597,-35.1047,74.12,80,7,10.54,BR,1598929200
100,Karachi,24.9056,67.0822,81.82,80,69,13.0,PK,1598929200
101,Cabo San Lucas,22.8909,-109.9124,80.92,78,30,5.93,MX,1598929200
102,Seoul,37.5683,126.9778,88.9,58,45,4.99,KR,1598929200
103,Sortland,68.6949,15.4162,50.25,92,100,7.27,NO,1598929200
104,Havøysund,70.9963,24.6622,46.29,79,87,15.88,NO,1598929200
105,Buraidah,26.326,43.975,81.52,19,1,7.11,SA,1598929200
106,Denpasar,-8.65,115.2167,82.33,78,53,8.93,ID,1598929200
107,Makakilo City,21.3469,-158.0858,83.01,63,26,20.85,US,1598929200
108,Aksarka,66.5606,67.7975,46.78,86,100,6.73,RU,1598929200
109,Yellowknife,62.456,-114.3525,48.07,62,87,11.54,CA,1598929200
110,Jalor,25.35,72.6167,77.72,88,81,11.77,IN,1598929200
111,Nizhnyaya Tavda,57.6731,66.1725,56.64,91,93,6.71,RU,1598929200
112,Pevek,69.7008,170.3133,37.13,92,97,11.21,RU,1598929200
113,Khovd,48.0056,91.6419,62.94,47,0,2.82,MN,1598929200
114,Grevesmühlen,53.8667,11.1833,54.16,83,37,4.94,DE,1598929200
115,Were Īlu,10.6,39.4333,51.21,93,99,1.7,ET,1598929200
116,Esperance,-33.8667,121.9,59.11,75,65,26.66,AU,1598929200
117,Kieta,-6.2167,155.6333,84.49,69,89,6.38,PG,1598929200
118,Mīnāb,27.1467,57.0801,89.98,28,0,5.68,IR,1598929200
119,Bereda,43.2686,-7.5406,53.22,92,96,1.32,ES,1598929200
120,Chui,-33.6971,-53.4616,45.55,75,100,9.13,UY,1598929200
121,Jining,35.405,116.5814,83.89,71,0,8.9,CN,1598929200
122,Tilichiki,60.4667,166.1,55.02,55,67,11.95,RU,1598929200
123,Lagoa,39.05,-27.9833,70.84,70,53,9.95,PT,1598929200
124,Sri Aman,1.2376,111.4621,81.93,87,59,1.95,MY,1598929200
125,Shagonar,51.5333,92.8,61.59,62,0,0.51,RU,1598929200
126,Carnarvon,-24.8667,113.6333,68.47,84,56,20.69,AU,1598929200
127,Kurchum,48.5722,83.6542,73.67,37,0,3.65,KZ,1598929200
128,Port Augusta,-32.5,137.7667,67.69,34,43,19.75,AU,1598929200
129,Castro,-24.7911,-50.0119,57.72,90,89,12.39,BR,1598929200
130,Bethel,41.3712,-73.414,63.01,79,49,3.74,US,1598929200
131,Gubkinskiy,64.434,76.5026,53.17,81,100,22.28,RU,1598929200
132,Maniwaki,46.3834,-75.966,54.12,87,6,4.29,CA,1598929200
133,Pangnirtung,66.1451,-65.7125,49.06,53,95,8.68,CA,1598929200
134,Moerai,-22.4333,-151.3333,70.5,76,96,20.69,PF,1598929200
135,Mundo Nuevo (Ojo de Agua),18.7,-95.5,85.19,68,2,7.07,MX,1598929200
136,Júlio de Castilhos,-29.2269,-53.6817,47.5,90,94,18.1,BR,1598929200
137,Tocopilla,-22.092,-70.1979,59.04,64,48,1.05,CL,1598929200
138,Novorozhdestvenskaya,45.8619,39.9542,68.63,42,0,14.29,RU,1598929200
139,Souillac,-20.5167,57.5167,70.39,79,51,16.49,MU,1598929200
140,Hammerfest,70.6634,23.6821,44.67,82,87,12.46,NO,1598929200
141,Kununurra,-15.7667,128.7333,95.31,31,63,13.82,AU,1598929200
142,North Vanlaiphai,23.1333,93.0667,66.36,100,100,1.05,IN,1598929200
143,Yulara,-25.2406,130.9889,83.35,20,0,11.86,AU,1598929200
144,Bengkulu,-3.8004,102.2655,84.15,78,45,6.78,ID,1598929200
145,New Norfolk,-42.7826,147.0587,53.28,54,86,4.65,AU,1598929200
146,Bambous Virieux,-20.3428,57.7575,71.22,79,55,17.0,MU,1598929200
147,Gali,42.6265,41.7381,69.51,65,0,3.44,GE,1598929200
148,Lakatoro,-16.0999,167.4164,80.1,76,64,17.11,VU,1598929200
149,Carambeí,-24.9178,-50.0972,55.83,95,93,11.05,BR,1598929200
150,Mahébourg,-20.4081,57.7,71.15,79,54,17.25,MU,1598929200
151,Tasiilaq,65.6145,-37.6368,37.51,92,100,1.54,GL,1598929200
152,Beïnamar,8.6698,15.3813,70.56,94,95,3.0,TD,1598929200
153,Kagoro,9.6,8.3833,67.37,98,100,0.56,NG,1598929200
154,Hervey Bay,-25.2986,152.8535,74.53,50,0,4.54,AU,1598929200
155,Nome,64.5011,-165.4064,59.4,53,54,8.34,US,1598929200
156,Lincoln,40.8,-96.667,63.79,50,1,6.69,US,1598929200
157,Ramnagar,29.4,79.1167,82.54,79,22,1.3,IN,1598929200
158,Shizilu,35.1711,118.8289,83.1,81,5,8.46,CN,1598929200
159,Ratzeburg,53.7,10.7667,50.5,88,36,3.42,DE,1598929200
160,Lufkin,31.3382,-94.7291,83.57,78,1,9.95,US,1598929200
161,Boma,7.0805,-2.1697,69.64,96,92,3.02,GH,1598929200
162,Forsytheganj,52.6333,29.7333,59.36,94,57,6.44,BY,1598929200
163,Deputatsky,69.3,139.9,42.96,71,74,10.51,RU,1598929200
164,Thunder Bay,48.4001,-89.3168,55.4,79,82,6.4,CA,1598929200
165,Camacha,33.0833,-16.3333,69.03,78,10,15.97,PT,1598929200
166,George Town,5.4112,100.3354,84.85,78,61,4.56,MY,1598929200
167,Aswān,24.0934,32.907,84.06,19,0,5.73,EG,1598929200
168,Aljezur,37.3191,-8.8033,63.39,61,40,5.32,PT,1598929200
169,Mnogovershinnyy,53.9353,139.9242,51.49,98,100,2.64,RU,1598929200
170,Port Blair,11.6667,92.75,84.38,75,100,7.43,IN,1598929200
171,Sola,-13.8833,167.55,79.97,84,100,22.08,VU,1598929200
172,Goderich,43.7501,-81.7165,66.81,81,43,12.37,CA,1598929200
173,Namtsy,62.7161,129.6658,63.05,77,91,4.23,RU,1598929200
174,Burnie,-41.0667,145.9167,48.72,70,87,4.34,AU,1598929200
175,Manakara,-22.1333,48.0167,64.26,92,4,4.76,MG,1598929200
176,Santa Isabel Rio Negro,-0.4139,-65.0192,76.28,79,9,2.17,BR,1598929200
177,Necochea,-38.5473,-58.7368,38.59,76,77,1.95,AR,1598929200
178,Longyearbyen,78.2186,15.6401,36.77,88,80,7.45,SJ,1598929200
179,Abhā,18.2164,42.5053,66.49,58,11,5.44,SA,1598929200
180,Stavyshche,50.4,29.5333,64.49,83,6,5.88,UA,1598929200
181,Kysyl-Syr,63.8986,122.7617,62.29,70,93,2.89,RU,1598929200
182,East London,-33.0153,27.9116,59.41,70,100,12.59,ZA,1598929200
183,Matagami,49.7502,-77.6328,57.2,73,68,9.89,CA,1598929200
184,Vanimo,-2.6741,141.3028,84.4,68,88,5.79,PG,1598929200
185,San Quintín,30.4833,-115.95,69.64,76,3,10.94,MX,1598929200
186,Beyneu,45.3167,55.2,77.34,19,0,7.18,KZ,1598929200
187,Ntoum,0.3833,9.7833,75.29,87,60,3.85,GA,1598929200
188,Pueblo,38.2545,-104.6091,70.83,46,22,7.61,US,1598929200
189,Provideniya,64.3833,-173.3,50.27,56,87,8.84,RU,1598929200
190,Hobyo,5.3505,48.5268,77.43,81,27,21.41,SO,1598929200
191,Vyartsilya,62.1764,30.693,45.84,92,73,6.85,RU,1598929200
192,Magdagachi,53.45,125.8,52.12,98,100,2.84,RU,1598929200
193,Dikson,73.5069,80.5464,46.09,88,40,4.94,RU,1598929200
194,Labuhan,-6.8844,112.2051,87.6,65,35,6.98,ID,1598929200
195,Narsaq,60.9167,-46.05,45.28,81,80,3.87,GL,1598929200
196,Sicamous,50.8331,-118.9856,62.1,55,95,0.16,CA,1598929200
197,Mabay,6.0577,124.4666,87.51,62,71,3.83,PH,1598929200
198,Nanortalik,60.1432,-45.2371,43.48,89,88,9.24,GL,1598929200
199,Zhuanghe,39.7008,122.9911,78.98,79,14,8.84,CN,1598929200
200,Osterholz-Scharmbeck,53.2333,8.8,51.96,85,11,3.6,DE,1598929200
201,San Patricio,19.2167,-104.7,81.34,78,87,2.3,MX,1598929200
202,Quatre Cocos,-20.2078,57.7625,70.97,79,53,16.84,MU,1598929200
203,Jaisalmer,26.9147,70.9181,79.27,87,97,13.62,IN,1598929200
204,Avarua,-21.2078,-159.775,75.51,68,36,14.85,CK,1598929200
205,Kropotkin,45.4375,40.5756,67.23,49,0,12.19,RU,1598929200
206,Khatanga,71.9667,102.5,46.18,70,68,11.99,RU,1598929200
207,Ugoofaaru,5.6667,73.0,82.63,76,100,9.82,MV,1598929200
208,Coquimbo,-29.9533,-71.3436,52.34,79,43,5.91,CL,1598929200
209,Umm Kaddadah,13.6017,26.6876,82.54,53,84,6.89,SD,1598929200
210,Sibolga,1.7427,98.7792,81.99,79,100,1.77,ID,1598929200
211,Loralai,30.3705,68.598,74.08,64,52,4.25,PK,1598929200
212,Flagstaff,35.1981,-111.6513,67.03,44,8,12.3,US,1598929200
213,Port Shepstone,-30.7414,30.455,58.62,72,77,3.47,ZA,1598929200
214,Stokmarknes,68.5646,14.9108,51.04,90,100,14.85,NO,1598929200
215,Inhambane,-23.865,35.3833,66.83,80,99,12.73,MZ,1598929200
216,Mar del Plata,-38.0023,-57.5575,41.95,65,78,5.41,AR,1598929200
217,Sistranda,63.7256,8.834,51.67,73,44,5.88,NO,1598929200
218,Seymchan,62.8833,152.4333,52.48,68,100,4.56,RU,1598929200
219,Broken Hill,-31.95,141.4333,63.16,31,0,14.32,AU,1598929200
220,Agirish,61.9247,63.0231,50.83,88,35,7.23,RU,1598929200
221,Samarai,-10.6167,150.6667,77.86,87,95,17.65,PG,1598929200
222,Severo-Kuril'sk,50.6789,156.125,53.38,69,93,6.76,RU,1598929200
223,Barrow,71.2906,-156.7887,38.21,76,87,21.45,US,1598929200
224,Ust-Maya,60.4167,134.5333,66.16,70,51,3.71,RU,1598929200
225,Peñarroya-Pueblonuevo,38.3,-5.2667,65.19,52,26,3.78,ES,1598929200
226,Lüderitz,-26.6481,15.1594,52.84,64,0,20.27,NA,1598929200
227,Kouroussa,10.65,-9.8833,70.79,97,100,6.98,GN,1598929200
228,Faanui,-16.4833,-151.75,77.61,76,41,22.7,PF,1598929200
229,Ixtapa,20.7,-105.2,77.29,94,95,1.05,MX,1598929200
230,Tarrafal,15.2833,-23.7667,76.91,79,64,11.92,CV,1598929200
231,Galveston,29.3669,-94.9669,85.8,78,40,15.99,US,1598929200
232,Abbeyleix,52.8992,-7.3575,53.47,93,76,5.64,IE,1598929200
233,Provincia di Imperia,43.9667,7.7833,57.6,74,3,5.21,IT,1598929200
234,Fuling,29.7022,107.3919,83.89,72,20,3.91,CN,1598929200
235,Pundaguitan,6.3711,126.1689,83.64,69,76,3.36,PH,1598929200
236,Shimoda,34.6667,138.95,84.79,73,46,14.14,JP,1598929200
237,Castlemaine,-37.0667,144.2167,51.49,62,85,10.42,AU,1598929200
238,Henties Bay,-22.116,14.2845,51.08,84,0,8.75,NA,1598929200
239,The Valley,18.217,-63.0578,83.19,81,59,11.5,AI,1598929200
240,Balkanabat,39.5108,54.3671,77.23,36,0,5.1,TM,1598929200
241,Saint Anthony,45.0205,-93.218,65.8,42,40,5.57,US,1598929200
242,Lavrentiya,65.5833,-171.0,44.53,71,98,13.44,RU,1598929200
243,Puksoozero,62.5903,40.6066,44.47,92,100,6.44,RU,1598929200
244,Hasaki,35.7333,140.8333,81.27,83,82,11.99,JP,1598929200
245,Youghal,51.95,-7.8506,57.06,94,87,10.02,IE,1598929200
246,Port-Gentil,-0.7193,8.7815,74.97,83,88,13.44,GA,1598929200
247,Florida Ridge,27.5803,-80.3867,80.4,84,42,4.27,US,1598929200
248,Tuktoyaktuk,69.4541,-133.0374,54.37,65,94,10.31,CA,1598929200
249,Kahului,20.8947,-156.47,81.54,60,34,14.38,US,1598929200
250,Butaritari,3.0707,172.7902,84.33,72,84,7.7,KI,1598929200
251,Kroya,-7.6331,109.2461,80.73,78,86,10.07,ID,1598929200
252,Krieglach,47.5333,15.55,53.38,94,100,4.09,AT,1598929200
253,Adrar,20.5022,-10.0711,89.83,17,2,3.44,MR,1598929200
254,Kaitangata,-46.2817,169.8464,46.42,55,77,7.85,NZ,1598929200
255,Saskylakh,71.9167,114.0833,47.71,69,97,9.08,RU,1598929200
256,Gurupi,-11.7292,-49.0686,79.72,24,19,5.64,BR,1598929200
257,Orange,33.7,-117.7675,68.94,66,12,4.56,US,1598929200
258,Waipawa,-41.4122,175.5153,48.36,97,58,12.08,NZ,1598929200
259,Vincennes,48.85,2.4333,55.74,80,0,3.02,FR,1598929200
260,Miranda,3.2499,-76.2281,66.81,86,51,4.83,CO,1598929200
261,Ilulissat,69.2167,-51.1,35.31,90,35,5.44,GL,1598929200
262,Thompson,55.7435,-97.8558,47.55,92,67,9.17,CA,1598929200
263,Abu Samrah,35.3029,37.1841,78.75,23,0,6.33,SY,1598929200
264,Aktau,43.65,51.2,73.27,80,46,5.84,KZ,1598929200
265,Auki,-8.7676,160.7034,88.2,64,87,6.55,SB,1598929200
266,Petropavlovsk-Kamchatskiy,53.0452,158.6483,60.57,56,63,4.81,RU,1598929200
267,Yangi Marg`ilon,40.4272,71.7189,82.33,40,3,7.85,UZ,1598929200
268,Faya,18.3851,42.4509,66.15,56,1,3.58,SA,1598929200
269,Severo-Yeniseyskiy,60.3725,93.0408,54.03,97,100,13.98,RU,1598929200
270,Richards Bay,-28.783,32.0377,59.74,72,100,3.11,ZA,1598929200
271,Itaituba,-4.2761,-55.9836,77.83,68,47,1.01,BR,1598929200
272,Mogoytuy,51.2833,114.9167,61.38,81,100,10.71,RU,1598929200
273,Kongolo,-5.3833,27.0,74.93,75,52,2.42,CD,1598929200
274,Baykit,61.67,96.37,53.6,89,100,5.59,RU,1598929200
275,Hamilton,39.1834,-84.5333,73.11,87,27,2.64,US,1598929200
276,Port Hawkesbury,45.6169,-61.3485,53.87,72,24,8.99,CA,1598929200
277,Coyhaique,-45.5752,-72.0662,36.68,84,54,2.53,CL,1598929200
278,Paraná,-31.732,-60.5238,53.22,59,100,9.37,AR,1598929200
279,Cañon City,38.441,-105.2424,63.81,58,73,1.21,US,1598929200
280,Kīhei,20.785,-156.4656,83.23,57,42,3.51,US,1598929200
281,Kirakira,-10.4544,161.9205,85.3,72,74,13.18,SB,1598929200
282,Lae,-6.7221,146.9847,86.16,57,95,7.54,PG,1598929200
283,Pacific Grove,36.6177,-121.9166,61.2,74,17,2.59,US,1598929200
284,‘Āhuimanu,21.4447,-157.8378,81.34,69,53,18.95,US,1598929200
285,Skibbereen,51.55,-9.2667,58.24,97,87,11.5,IE,1598929200
286,Bac Lieu,9.285,105.7244,87.33,73,46,9.51,VN,1598929200
287,Neuquén,-38.9516,-68.0591,53.13,42,50,19.3,AR,1598929200
288,Bonavista,48.6499,-53.1147,53.01,82,96,20.71,CA,1598929200
289,Butembo,0.15,29.2833,58.24,98,51,1.1,CD,1598929200
290,Brazzaville,-4.2658,15.2832,78.98,59,90,5.06,CG,1598929200
291,Chokurdakh,70.6333,147.9167,42.24,77,100,11.79,RU,1598929200
292,Gisborne,-38.6533,178.0042,65.79,49,2,6.78,NZ,1598929200
293,Najrān,17.4924,44.1277,77.88,21,29,2.17,SA,1598929200
